Vendor_ID,Vendor_Avg_Repair_Cost,axio_segment_number
21413448,11321.533138039315,0
45990619,40008.79905251878,0
73828916,31122.346258101443,0
53817122,26694.63820002731,0
81322723,25696.18150257039,0
96991164,27114.055036541617,0
27461965,57389.36772876455,0
70125167,67252.08552850723,0
90795739,23983.253881725475,0
51918199,36969.14399880373,0
42950996,47679.52744153286,0
90678973,61967.347095656296,0
96993973,38729.91658424402,0
51892464,17722.83890189209,0
66838960,64101.30012802601,0
98776734,33861.32695835717,0
43990697,45605.83652403239,0
67917192,49133.24154911627,0
77733620,78368.4428538098,0
98969622,47048.15042423185,0
48614966,57995.510184440645,0
29620463,41673.028652289766,0
29434874,51879.57255752288,0
25211269,47212.16191916851,0
18409900,70078.49354769563,0
52835515,61314.03612638137,0
00002265,37898.600229354786,0
89459731,29231.64381893214,0
36310324,36789.36681075259,0
23987307,30328.472443282495,0
13295243,39244.76552272811,0
14453248,19356.084508602886,0
09346111,62922.022978592715,0
42779360,32872.79598310904,0
78162700,29550.13849000825,0
34566020,24381.519651366714,0
27370795,27555.26206176071,0
05412795,48755.27428035906,0
33502397,42323.934020460874,0
10796480,29338.7135937058,0
32420439,58730.398018924985,0
03602281,45204.958385148224,0
23281196,64496.98043890089,0
55464080,48457.57208607602,0
59310009,63095.10350340861,0
29833590,40927.89762245114,0
92690996,56141.40428480418,0
04115726,31730.30387444342,0
21504350,11514.464953891602,0
42322971,60628.69347954518,0
09805696,66834.62284369432,0
91467224,19558.202988551875,0
87457063,20804.075947143905,0
83457916,19525.000119705546,0
23716365,61082.735405637155,0
15199117,27191.005151872778,0
56127238,32897.79813671631,0
82187697,57258.452614194175,0
00222566,37193.06908293485,0
19243183,53204.27395674995,0
24231479,57303.26904589273,0
50031221,35279.96974172564,0
91982101,32526.53910105468,0
26979508,59033.435720925205,0
63907095,52229.7611678443,0
09723398,46510.1527619555,0
44480347,57206.22987187831,0
01176253,46405.469143942704,0
30559638,73861.48058466973,0
69312976,69462.9155924609,0
90037076,27373.21738227914,0
84409414,20447.917915399066,0
43062871,26285.251386852367,0
92172943,25195.021932528376,0
16951240,47400.18893790184,0
14524717,24446.639657522835,0
67908573,47519.06107904191,0
29091464,78998.82960886593,0
21924652,80033.88898020142,0
94602764,18637.571173676904,0
32892664,55671.101093101155,0
33499825,34662.06306866051,0
28051366,56498.9625089717,0
57453631,65454.059459077434,0
74018252,29292.34659939953,0
61740270,65728.50640843669,0
87837291,38080.322441050535,0
03841146,51031.196948404046,0
13020549,31551.362571711303,0
25567528,59821.77123735544,0
08825786,35235.93238728365,0
91528713,21451.066501923324,0
57264530,37990.643701365305,0
23912883,50369.44806800236,0
94937182,62577.33317890484,0
03691084,65852.82784137625,0
61751433,54040.78481726795,0
42409940,37410.30275537987,0
19542436,43440.935897110045,0
43138045,33719.96815520819,0
00566291,61413.74234897891,0
82947018,47237.672517420855,0
61554449,23835.44659689119,0
29323529,24518.946863295714,0
01314672,25988.664069423434,0
91797396,51675.793513781246,0
07480737,65515.811417327204,0
10463092,33906.457593298015,0
74961205,16427.984268622968,0
13206157,36284.830777304516,0
43941845,36762.557786554506,0
51746610,48507.012956431616,0
62011946,20989.521552475606,0
01270419,42485.82289278408,0
84609572,51990.12243147745,0
32141723,34840.95797092711,0
18938765,42860.86019383537,0
40545114,35510.95530689808,0
88207021,52085.46270571852,0
01311939,62236.359843052094,0
80322363,46148.88461748225,0
96012236,27106.325860636152,0
25695638,36621.4648570694,0
03036246,29662.646275802923,0
53737797,27460.455295089196,0
00701138,70327.33826875834,0
96654553,50060.82253433946,0
34273667,38773.64171983632,0
43245857,61294.755583800885,0
71679117,55844.096998021756,0
89556487,37419.10617958113,0
15439011,63445.23375181471,0
26699843,26266.869284933888,0
15977964,66484.39723499745,0
38511593,51498.73730180522,0
76476520,20877.41079470415,0
62000072,35572.61591720418,0
37820483,64756.91765271952,0
61365821,69146.45415565399,0
33948563,54161.089894427554,0
29310182,24663.059165009447,0
31266594,68777.15877050039,0
67200609,46922.8480030632,0
24288350,68453.87254362815,0
99386786,30395.49478666639,0
50530186,55897.512582063995,0
45811905,24689.085430446168,0
28229350,14845.869733232841,0
53249231,31026.67279360826,0
72215883,50868.30571411076,0
40528985,50253.65543454115,0
39261010,37102.67792841735,0
85825872,44542.91286931388,0
54972398,27330.38456833751,0
84232092,42170.128352449254,0
58388598,53249.29935465537,0
27843283,39925.32050025188,0
10557035,34392.72704224809,0
12196104,26426.664742553745,0
36613794,28954.402567926627,0
53737972,46906.093901621425,0
74433710,42299.33178845483,0
75936623,58787.38337418929,0
66845209,53553.113828344125,0
61144845,31558.95727888299,0
64325305,44711.67419417753,0
25002558,68296.4795938565,0
02040811,39051.71473536328,0
81669769,11423.368678266448,0
48481170,13014.897904835709,0
46244118,84597.92001713964,0
86485679,38495.52939548869,0
21264529,22846.98888198609,0
62071643,63679.26150560521,0
17655368,13773.555595403055,0
88683436,22666.382032725567,0
21258448,47328.688832055384,0
97408852,25811.04747080206,0
24463300,60587.229847316994,0
74878964,61699.18563413966,0
56953316,50430.306101910624,0
16777872,44635.6467335511,0
02366951,46263.06783473365,0
07056178,54975.2536888343,0
87322090,18990.28065628506,0
67915820,67126.2323249391,0
95849555,56349.50976154944,0
10780707,44827.79328767668,0
82408364,42917.540780259675,0
87138496,53561.1468298324,0
12313177,29304.842886693805,0
84908288,45163.5422983242,0
79656656,64171.494804384594,0
55411316,34892.31949940191,0
61884743,38805.78884392612,0
57561587,54063.54111900101,0
75370699,19293.409970949866,0
07895728,37148.52661857722,0
06792000,40395.70292390015,0
56795690,51944.2468016711,0
25319108,17865.844254886175,0
63208063,52098.198109458666,0
46461379,52122.731625456574,0
45957877,54827.15690968234,0
47428184,32081.852178305136,0
62577712,27044.870113913206,0
11002453,34678.237263639836,0
54074173,61198.01368107515,0
66028419,65889.9144625441,0
03857292,67727.98997113318,0
92852809,44472.818668351625,0
55942158,50310.49600124119,0
15732448,25651.776538019916,0
94362110,40309.86008924413,0
48374561,40322.05021465148,0
28620183,64100.12017857864,0
05200873,61472.26206566345,0
10819060,14222.567703522536,0
01495652,86988.53432552317,0
80920748,56856.134101289965,0
84606245,44696.576232314525,0
27639356,47448.78088201917,0
04296058,26108.713315193494,0
06784305,18722.042655130666,0
40266469,73527.32896468959,0
63568927,20729.840593631372,0
35377994,46878.38420205082,0
71854317,53353.62612118914,0
24346067,36137.31515245509,0
35708316,55488.90939845244,0
32715149,28504.84326363232,0
20250393,65404.32711400406,0
21031886,61669.33701477949,0
92692300,34160.14668445235,0
15271308,41556.866070672026,0
34548498,50603.20701107987,0
83567873,43742.8481838362,0
74509982,61000.044814922934,0
90725622,18978.389930601905,0
18827986,49272.532572758675,0
01968543,63414.13818378904,0
21691984,21806.057474925234,0
85345356,50721.427395072744,0
74766272,36097.252432210196,0
60668406,60024.74035236703,0
59253605,55337.273140281104,0
56924606,40037.68491937581,0
18306812,62909.95706599254,0
93769802,31459.576091550436,0
63769043,47206.54226952466,0
30449394,82212.68785549901,0
31212776,33902.62124078233,0
54253560,72584.74589133395,0
41531472,71316.74606646535,0
41285213,39802.14460885139,0
23730974,66351.09010440308,0
77263350,55876.8429874474,0
06714923,37974.92523633049,0
19524398,40827.89004090655,0
66586026,56435.11759477995,0
11951698,51338.83105890481,0
44723722,58275.45938522598,0
18432888,27079.368888139972,0
25865383,52880.868951283366,0
20910145,31262.219277298307,0
82897117,26516.19797673769,0
58586641,57809.112207268,0
62538843,48061.60517054809,0
42538219,54561.14271545451,0
10234686,56370.354667968815,0
43746591,35291.50712343525,0
58005844,68282.82906774241,0
87870028,53533.819076489934,0
23575677,58714.382558159195,0
38293572,53663.820657205375,0
61519240,30228.71313464883,0
78447264,44537.27518811595,0
38649888,41099.84465527012,0
84447632,54620.73112401516,0
78936716,42607.39550149953,0
67952592,47283.13522970944,0
41974331,49549.16856247594,0
79793545,68988.8897964071,0
60419653,26936.7113370132,0
32999256,29319.165992207752,0
56250493,68669.79998757412,0
90675247,40121.014968454976,0
85894915,22719.936614666018,0
81868244,16158.376401527841,0
19776875,49526.6168504739,0
71824598,40620.572231023136,0
57720362,47941.555754507055,0
81407753,35739.68104433399,0
26854019,67769.71292536789,0
74898145,20905.726334734194,0
23863473,44881.82149260437,0
43851249,34349.151431058264,0
94256090,43615.65592313904,0
60659423,,0
57433099,,0
65735132,,0
83668527,,0
52383059,,0
32726163,,0
49326902,,0
41466395,,0
81171591,,0
35371639,,0
88603139,,0
79041464,,0
85754112,,0
59595025,,0
72686623,,0
27793613,,0
92745362,,0
02148409,,0
31721808,,0
47476328,,0
27392120,,0
12844768,,0
53147537,,0
10304027,,0
44935391,,0
35633834,,0
03173158,,0
92293592,,0
92040480,,0
73784540,,0
94946875,,0
26615853,,0
45615348,,0
04783902,,0
50410208,,0
26005520,,0
91139112,,0
29730873,,0
